date,close,index
2010-06-24,27.877086639404297,EEM (Emerging Markets)
2010-06-25,28.206144332885742,EEM (Emerging Markets)
2010-06-28,28.012998580932617,EEM (Emerging Markets)
2010-06-29,26.875595092773438,EEM (Emerging Markets)
2010-06-30,26.696758270263672,EEM (Emerging Markets)
2010-07-01,26.8898983001709,EEM (Emerging Markets)
2010-07-02,27.004358291625977,EEM (Emerging Markets)
2010-07-06,27.505102157592773,EEM (Emerging Markets)
2010-07-07,28.113147735595703,EEM (Emerging Markets)
2010-07-08,28.24906349182129,EEM (Emerging Markets)
2010-07-09,28.59242820739746,EEM (Emerging Markets)
2010-07-12,28.3635196685791,EEM (Emerging Markets)
2010-07-13,28.69257354736328,EEM (Emerging Markets)
2010-07-14,28.635345458984375,EEM (Emerging Markets)
2010-07-15,28.499435424804688,EEM (Emerging Markets)
2010-07-16,27.648170471191406,EEM (Emerging Markets)
2010-07-19,28.012998580932617,EEM (Emerging Markets)
2010-07-20,28.671110153198242,EEM (Emerging Markets)
2010-07-21,28.377822875976562,EEM (Emerging Markets)
2010-07-22,29.236248016357422,EEM (Emerging Markets)
2010-07-23,29.436542510986328,EEM (Emerging Markets)
2010-07-26,29.6368350982666,EEM (Emerging Markets)
2010-07-27,29.586763381958008,EEM (Emerging Markets)
2010-07-28,29.422231674194336,EEM (Emerging Markets)
2010-07-29,29.472309112548828,EEM (Emerging Markets)
2010-07-30,29.61536979675293,EEM (Emerging Markets)
2010-08-02,30.38079071044922,EEM (Emerging Markets)
2010-08-03,30.237730026245117,EEM (Emerging Markets)
2010-08-04,30.280658721923828,EEM (Emerging Markets)
2010-08-05,30.144733428955078,EEM (Emerging Markets)
2010-08-06,30.101806640625,EEM (Emerging Markets)
2010-08-09,30.25918197631836,EEM (Emerging Markets)
2010-08-10,29.84429359436035,EEM (Emerging Markets)
2010-08-11,28.892879486083984,EEM (Emerging Markets)
2010-08-12,28.94295310974121,EEM (Emerging Markets)
2010-08-13,29.100326538085938,EEM (Emerging Markets)
2010-08-16,29.372163772583008,EEM (Emerging Markets)
2010-08-17,29.67976951599121,EEM (Emerging Markets)
2010-08-18,29.658296585083008,EEM (Emerging Markets)
2010-08-19,29.429384231567383,EEM (Emerging Markets)
2010-08-20,29.343549728393555,EEM (Emerging Markets)
2010-08-23,29.0788631439209,EEM (Emerging Markets)
2010-08-24,28.706890106201172,EEM (Emerging Markets)
2010-08-25,28.520889282226562,EEM (Emerging Markets)
2010-08-26,28.342063903808594,EEM (Emerging Markets)
2010-08-27,28.964405059814453,EEM (Emerging Markets)
2010-08-30,28.485130310058594,EEM (Emerging Markets)
2010-08-31,28.656808853149414,EEM (Emerging Markets)
2010-09-01,29.665451049804688,EEM (Emerging Markets)
2010-09-02,29.715532302856445,EEM (Emerging Markets)
2010-09-03,30.066043853759766,EEM (Emerging Markets)
2010-09-07,29.62967872619629,EEM (Emerging Markets)
2010-09-08,29.951583862304688,EEM (Emerging Markets)
2010-09-09,30.12327766418457,EEM (Emerging Markets)
2010-09-10,30.230567932128906,EEM (Emerging Markets)
2010-09-13,30.953079223632812,EEM (Emerging Markets)
2010-09-14,30.938764572143555,EEM (Emerging Markets)
2010-09-15,30.981693267822266,EEM (Emerging Markets)
2010-09-16,30.824312210083008,EEM (Emerging Markets)
2010-09-17,30.77423858642578,EEM (Emerging Markets)
2010-09-20,31.26067352294922,EEM (Emerging Markets)
2010-09-21,31.167682647705078,EEM (Emerging Markets)
2010-09-22,31.189146041870117,EEM (Emerging Markets)
2010-09-23,30.988842010498047,EEM (Emerging Markets)
2010-09-24,31.561119079589844,EEM (Emerging Markets)
2010-09-27,31.503894805908203,EEM (Emerging Markets)
2010-09-28,31.73280143737793,EEM (Emerging Markets)
2010-09-29,31.840103149414062,EEM (Emerging Markets)
2010-09-30,32.026092529296875,EEM (Emerging Markets)
2010-10-01,32.49822235107422,EEM (Emerging Markets)
2010-10-04,32.39807891845703,EEM (Emerging Markets)
2010-10-05,32.98466873168945,EEM (Emerging Markets)
2010-10-06,32.97035217285156,EEM (Emerging Markets)
2010-10-07,32.67707061767578,EEM (Emerging Markets)
2010-10-08,33.07050704956055,EEM (Emerging Markets)
2010-10-11,33.04904556274414,EEM (Emerging Markets)
2010-10-12,32.91312789916992,EEM (Emerging Markets)
2010-10-13,33.52116775512695,EEM (Emerging Markets)
2010-10-14,33.46394729614258,EEM (Emerging Markets)
2010-10-15,33.42103958129883,EEM (Emerging Markets)
2010-10-18,33.43532943725586,EEM (Emerging Markets)
2010-10-19,32.376617431640625,EEM (Emerging Markets)
2010-10-20,32.891666412353516,EEM (Emerging Markets)
2010-10-21,32.891666412353516,EEM (Emerging Markets)
2010-10-22,32.92743682861328,EEM (Emerging Markets)
2010-10-25,33.28510284423828,EEM (Emerging Markets)
2010-10-26,33.25649642944336,EEM (Emerging Markets)
2010-10-27,32.69136428833008,EEM (Emerging Markets)
2010-10-28,32.89881896972656,EEM (Emerging Markets)
2010-10-29,32.9918212890625,EEM (Emerging Markets)
2010-11-01,33.35664749145508,EEM (Emerging Markets)
2010-11-02,33.77154541015625,EEM (Emerging Markets)
2010-11-03,33.9789924621582,EEM (Emerging Markets)
2010-11-04,34.7515754699707,EEM (Emerging Markets)
2010-11-05,34.68718719482422,EEM (Emerging Markets)
2010-11-08,34.54411697387695,EEM (Emerging Markets)
2010-11-09,34.107757568359375,EEM (Emerging Markets)
2010-11-10,34.35813522338867,EEM (Emerging Markets)
2010-11-11,34.02191162109375,EEM (Emerging Markets)
2010-11-12,33.19926071166992,EEM (Emerging Markets)
2010-11-15,33.18497085571289,EEM (Emerging Markets)
2010-11-16,32.312232971191406,EEM (Emerging Markets)
2010-11-17,32.47677230834961,EEM (Emerging Markets)
2010-11-18,33.24933624267578,EEM (Emerging Markets)
2010-11-19,33.27080154418945,EEM (Emerging Markets)
2010-11-22,33.170658111572266,EEM (Emerging Markets)
2010-11-23,32.119083404541016,EEM (Emerging Markets)
2010-11-24,32.86305236816406,EEM (Emerging Markets)
2010-11-26,32.04755401611328,EEM (Emerging Markets)
2010-11-29,32.29793167114258,EEM (Emerging Markets)
2010-11-30,32.033260345458984,EEM (Emerging Markets)
2010-12-01,32.94889450073242,EEM (Emerging Markets)
2010-12-02,33.59987258911133,EEM (Emerging Markets)
2010-12-03,33.72146987915039,EEM (Emerging Markets)
2010-12-06,33.66423416137695,EEM (Emerging Markets)
2010-12-07,33.506866455078125,EEM (Emerging Markets)
2010-12-08,33.292259216308594,EEM (Emerging Markets)
2010-12-09,33.17780685424805,EEM (Emerging Markets)
2010-12-10,33.328025817871094,EEM (Emerging Markets)
2010-12-13,33.54264450073242,EEM (Emerging Markets)
2010-12-14,33.59271240234375,EEM (Emerging Markets)
2010-12-15,33.04904556274414,EEM (Emerging Markets)
2010-12-16,33.14204406738281,EEM (Emerging Markets)
2010-12-17,33.19211959838867,EEM (Emerging Markets)
2010-12-20,33.04189682006836,EEM (Emerging Markets)
2010-12-21,33.524200439453125,EEM (Emerging Markets)
2010-12-22,33.639564514160156,EEM (Emerging Markets)
2010-12-23,33.603511810302734,EEM (Emerging Markets)
2010-12-27,33.49537658691406,EEM (Emerging Markets)
2010-12-28,33.524200439453125,EEM (Emerging Markets)
2010-12-29,33.953407287597656,EEM (Emerging Markets)
2010-12-30,34.12653350830078,EEM (Emerging Markets)
2010-12-31,34.36455535888672,EEM (Emerging Markets)
2011-01-03,34.696380615234375,EEM (Emerging Markets)
2011-01-04,34.85506820678711,EEM (Emerging Markets)
2011-01-05,34.76851272583008,EEM (Emerging Markets)
